times_utc,out1(t+0),out1(t+1),out1(t+2),out1(t+3)
2023-08-28 09:00:00,36.58089667,35.62770533,36.459328,36.459328
2023-08-28 09:15:00,35.62770533,36.459328,36.459328,36.459328
2023-08-28 09:30:00,36.459328,36.459328,36.459328,36.459328
2023-08-28 09:45:00,36.459328,36.459328,36.459328,36.459328
2023-08-28 10:00:00,36.459328,36.459328,36.459328,34.49732167
2023-08-28 10:15:00,36.459328,36.459328,34.49732167,34.49732167
2023-08-28 10:30:00,36.459328,34.49732167,34.49732167,36.28578633
2023-08-28 10:45:00,34.49732167,34.49732167,36.28578633,36.28578633
2023-08-28 11:00:00,34.49732167,36.28578633,36.28578633,36.28578633
2023-08-28 11:15:00,36.28578633,36.28578633,36.28578633,34.13620667
2023-08-28 11:30:00,36.28578633,36.28578633,34.13620667,34.810839
2023-08-28 11:45:00,36.28578633,34.13620667,34.810839,34.26809
2023-08-28 12:00:00,34.13620667,34.810839,34.26809,35.314040000000006
2023-08-28 12:15:00,34.810839,34.26809,35.314040000000006,35.314040000000006
2023-08-28 12:30:00,34.26809,35.314040000000006,35.314040000000006,35.314040000000006
2023-08-28 12:45:00,35.314040000000006,35.314040000000006,35.314040000000006,35.314040000000006
2023-08-28 13:00:00,35.314040000000006,35.314040000000006,35.314040000000006,35.665163
2023-08-28 13:15:00,35.314040000000006,35.314040000000006,35.665163,35.665163
2023-08-28 13:30:00,35.314040000000006,35.665163,35.665163,35.47145733
2023-08-28 13:45:00,35.665163,35.665163,35.47145733,35.47145733
2023-08-28 14:00:00,35.665163,35.47145733,35.47145733,35.47145733
2023-08-28 14:15:00,35.47145733,35.47145733,35.47145733,36.17700767
2023-08-28 14:30:00,35.47145733,35.47145733,36.17700767,36.98382267
2023-08-28 14:45:00,35.47145733,36.17700767,36.98382267,34.55378933
2023-08-28 15:00:00,36.17700767,36.98382267,34.55378933,37.26854967
2023-08-28 15:15:00,36.98382267,34.55378933,37.26854967,36.12286733
2023-08-28 15:30:00,34.55378933,37.26854967,36.12286733,37.33077567
2023-08-28 15:45:00,37.26854967,36.12286733,37.33077567,39.71468467
2023-08-28 16:00:00,36.12286733,37.33077567,39.71468467,39.06955567
2023-08-28 16:15:00,37.33077567,39.71468467,39.06955567,40.978109
2023-08-28 16:30:00,39.71468467,39.06955567,40.978109,38.01650567
2023-08-28 16:45:00,39.06955567,40.978109,38.01650567,39.31333633
2023-08-28 17:00:00,40.978109,38.01650567,39.31333633,39.58767533
2023-08-28 17:15:00,38.01650567,39.31333633,39.58767533,27.89734933
2023-08-28 17:30:00,39.31333633,39.58767533,27.89734933,23.81766433
2023-08-28 17:45:00,39.58767533,27.89734933,23.81766433,17.60016233
2023-08-28 18:00:00,27.89734933,23.81766433,17.60016233,12.99357233
2023-08-28 18:15:00,23.81766433,17.60016233,12.99357233,9.793329332999999
2023-08-28 18:30:00,17.60016233,12.99357233,9.793329332999999,7.148598667000001
2023-08-28 18:45:00,12.99357233,9.793329332999999,7.148598667000001,5.641593
2023-08-28 19:00:00,9.793329332999999,7.148598667000001,5.641593,3.4139150000000003
2023-08-28 19:15:00,7.148598667000001,5.641593,3.4139150000000003,3.4139150000000003
2023-08-28 19:30:00,5.641593,3.4139150000000003,3.4139150000000003,3.4139150000000003
2023-08-28 19:45:00,3.4139150000000003,3.4139150000000003,3.4139150000000003,3.4139150000000003
2023-08-28 20:00:00,3.4139150000000003,3.4139150000000003,3.4139150000000003,2.562530333
2023-08-28 20:15:00,3.4139150000000003,3.4139150000000003,2.562530333,1.5345303330000002
2023-08-28 20:30:00,3.4139150000000003,2.562530333,1.5345303330000002,1.5345303330000002
2023-08-28 20:45:00,2.562530333,1.5345303330000002,1.5345303330000002,1.5345303330000002
2023-08-28 21:00:00,1.5345303330000002,1.5345303330000002,1.5345303330000002,1.5345303330000002
2023-08-28 21:15:00,1.5345303330000002,1.5345303330000002,1.5345303330000002,1.5345303330000002
2023-08-28 21:30:00,1.5345303330000002,1.5345303330000002,1.5345303330000002,1.5345303330000002
2023-08-28 21:45:00,1.5345303330000002,1.5345303330000002,1.5345303330000002,1.5345303330000002
2023-08-28 22:00:00,1.5345303330000002,1.5345303330000002,1.5345303330000002,1.5345303330000002
2023-08-28 22:15:00,1.5345303330000002,1.5345303330000002,1.5345303330000002,1.5345303330000002
2023-08-28 22:30:00,1.5345303330000002,1.5345303330000002,1.5345303330000002,1.5345303330000002
2023-08-28 22:45:00,1.5345303330000002,1.5345303330000002,1.5345303330000002,1.5345303330000002
2023-08-28 23:00:00,1.5345303330000002,1.5345303330000002,1.5345303330000002,1.5345303330000002
2023-08-28 23:15:00,1.5345303330000002,1.5345303330000002,1.5345303330000002,1.5345303330000002
2023-08-28 23:30:00,1.5345303330000002,1.5345303330000002,1.5345303330000002,1.5345303330000002
2023-08-28 23:45:00,1.5345303330000002,1.5345303330000002,1.5345303330000002,1.5345303330000002
2023-08-29 00:00:00,1.5345303330000002,1.5345303330000002,1.5345303330000002,1.5345303330000002
2023-08-29 00:15:00,1.5345303330000002,1.5345303330000002,1.5345303330000002,1.5345303330000002
2023-08-29 00:30:00,1.5345303330000002,1.5345303330000002,1.5345303330000002,1.5345303330000002
2023-08-29 00:45:00,1.5345303330000002,1.5345303330000002,1.5345303330000002,1.5345303330000002
2023-08-29 01:00:00,1.5345303330000002,1.5345303330000002,1.5345303330000002,0.0
2023-08-29 01:15:00,1.5345303330000002,1.5345303330000002,0.0,0.0
2023-08-29 01:30:00,1.5345303330000002,0.0,0.0,0.0
