units1,units2,input_dim,mae
12,12,24,3.277505724949057
12,12,48,3.2958851384846133
12,12,96,3.287187915663634
12,12,144,3.178801240066821
12,12,192,3.1920648349634604
12,12,288,3.3096082932933575
12,12,672,3.2996454157874022
24,24,24,3.2892127407610965
24,24,48,3.2296983085499735
24,24,96,2.9166835364273953
24,24,144,3.20983455429254
24,24,192,3.165510081562688
24,24,288,2.9575399299592497
24,24,672,3.0947286603277693
48,48,24,2.839400656047586
48,48,48,2.84693342420244
48,48,96,3.255343499877391
48,48,144,3.15505064805074
48,48,192,3.451975454609316
48,48,288,3.1627366077760013
48,48,672,3.1650580907831825
96,96,24,3.3065272688818195
96,96,48,2.8382062675466098
96,96,96,3.1459819951796777
96,96,144,3.270548571504976
96,96,192,3.5286707995237117
96,96,288,3.5737619880670626
96,96,672,2.5320855979781207
128,128,24,3.0391293245439206
128,128,48,3.030478046803382
128,128,96,3.235101160669105
128,128,144,2.9710837466799065
128,128,192,2.7388929751614075
128,128,288,3.2015224897675925
128,128,672,3.2574171859614687
256,256,24,3.0411406469106
256,256,48,2.8929468358274746
256,256,96,3.084862876078392
256,256,144,3.2286354083736737
256,256,192,3.274150567144105
256,256,288,2.935891037205749
256,256,672,3.3003164584254048
