units1,units2,input_dim,mae
12,12,24,3.5429470912511016
12,12,48,3.1540998038390917
12,12,96,3.121912946437363
12,12,144,3.508848620537374
12,12,192,3.1678337968210433
12,12,288,3.222678731837797
12,12,672,3.129249257991119
24,24,24,3.095035900856993
24,24,48,3.0660201281689368
24,24,96,3.352578343508669
24,24,144,3.2269281987409335
24,24,192,3.3349069053800346
24,24,288,3.27119062164394
24,24,672,3.2198457981132416
48,48,24,2.7838133280744843
48,48,48,3.357923873634546
48,48,96,2.897867886708399
48,48,144,2.887807491563241
48,48,192,3.353336932781894
48,48,288,2.92329649295163
48,48,672,2.785895714447245
96,96,24,2.68247459727741
96,96,48,3.2681997083317755
96,96,96,3.574377839930132
96,96,144,2.674365422858021
96,96,192,2.9611317128757078
96,96,288,2.9485999713687683
96,96,672,2.9082929896180003
128,128,24,3.0792022367355116
128,128,48,2.5717252030671087
128,128,96,3.110399105157691
128,128,144,3.062568386273065
128,128,192,3.043304367266834
128,128,288,3.1288393782973367
128,128,672,3.34972755264116
256,256,24,3.1216238009547896
