units1,units2,input_dim,mae
12,12,24,3.266699248432573
12,12,48,3.1015262024371
12,12,96,3.080975976364178
12,12,144,3.250265560874011
12,12,192,3.2201578089345038
12,12,288,3.244497991094276
12,12,672,3.382592646165165
24,24,24,3.0006434969066276
24,24,48,2.996566077522916
24,24,96,3.1039422636387135
24,24,144,3.281204087820645
24,24,192,3.2708766050655904
24,24,288,3.0225102563838178
24,24,672,3.2992209420041694
48,48,24,2.8887898855765877
48,48,48,3.2052423284778566
48,48,96,3.231483248629759
48,48,144,3.6208046657495387
48,48,192,3.4873220134899072
48,48,288,3.40034404330745
48,48,672,3.444045289278978
96,96,24,2.828761486512917
96,96,48,2.89537554833001
96,96,24,3.2310168869922173
96,96,48,2.971800555298889
128,128,24,3.0507040156052927
128,128,48,2.6038299785583194
128,128,96,3.3087726160901814
128,128,144,3.3860382008019103
128,128,192,3.137183738588201
128,128,288,3.258001952181498
128,128,672,2.8530301241450555
256,256,24,2.868793560588924
256,256,48,3.092725108015944
256,256,96,3.1129189344169412
256,256,144,3.291266189825001
256,256,192,2.9885625784691996
256,256,288,3.1354384768908528
256,256,672,2.7520196105172907
